idx,tipo,pregunta,respuesta_gold,respuesta_modelo,score,rule,latency_s,finish_reason,safety_flags
0,P1,¿Quién escribió el libro Diarió de una ninfomana?,Valérie Tasso,"El libro **""Diario de una ninfómana""** fue escrito por **Valérie Tasso**.

Ella es una",1,contains(gold),2.889,2,
1,P1,¿Quién escribió el libro Ḳadish la-yeled she-lo nolad?,Imre Kertész,[NO_TEXT],0,no_text,,2,
2,P1,¿Quién escribió el libro Hanging hill?,Mo Hayder,El libro **Hanging Hill** fue escrito por **Mo Hayder**.,1,contains(gold),1.647,1,
3,P2,¿De qué país es la persona André Blavier?,Belgium,André Blavier era de **Bélgica**.,1,country_alias_match,1.375,1,
4,P2,¿De qué país es la persona Anne Moreau-Vagnon?,France,"Anne Moreau-Vagnon es de **Francia**.

Es una investigadora y profesora francesa, conocida por su trabajo en el ámbito de la química y los materiales, especialmente en el CNRS (Centre national de la recherche scientifique) y la Universidad de Montpellier.",1,country_alias_match,2.126,1,
5,P2,¿De qué país es la persona Niklaus Brantschen?,Switzerland,Niklaus Brantschen es de **Suiza**.,1,country_alias_match,1.629,1,
6,P3,¿De qué país es el autor del libro Diarió de una ninfomana?,Spain,"La autora del libro ""Diario de una ninfómana"", **Valérie Tasso**, es de **Francia**.",0,country_alias_match,1.609,1,
7,P3,¿De qué país es el autor del libro Ḳadish la-yeled she-lo nolad?,Germany,[NO_TEXT],0,no_text,,2,
8,P3,¿De qué país es el autor del libro Hanging hill?,United Kingdom,"El autor del libro ""Hanging Hill"" es **Mo Hayder**, quien era de **Reino Unido** (británica).",1,country_alias_match,45.836,1,
9,P4,¿De qué año es el libro Rimas y declaraciones poéticas?,1999,[NO_TEXT],0,no_text,,2,
10,P4,¿De qué año es el libro Prentice Hall Literature--Copper?,1991,[NO_TEXT],0,no_text,,2,
11,P4,¿De qué año es el libro LEFECTE FRANKENSTEIN?,2019,El libro **L'EF,0,contains(gold),3.627,2,
12,P5,Dime el género o el tópico principal del libro Monty Python's second film,"Monty Python and the Holy Grail (Motion picture), Motion picture plays",[NO_TEXT],0,no_text,,2,
13,P5,Dime el género o el tópico principal del libro Cultura e poder entre o Império e a República,"History, Intellectual life",[NO_TEXT],0,no_text,,2,
14,P5,Dime el género o el tópico principal del libro Ida e volta,"Description and travel, Journeys, Portuguese Authors",[NO_TEXT],0,no_text,,2,
15,P6,Dime alguna editorial que haya publicado el libro Dieu ne se laisse pas chasser,"Apostolat des éditions, Editions Paulines",[NO_TEXT],0,no_text,,2,
16,P6,Dime alguna editorial que haya publicado el libro Großes Bundesverdienstkreuz,"AutorenEdition, Rowohlt, Steidl",[NO_TEXT],0,no_text,,2,
17,P6,Dime alguna editorial que haya publicado el libro Im Leuchtkäferlicht (German Edition),Allitera Verlag,[NO_TEXT],0,no_text,,2,
