tipo,pregunta,respuesta
P1,¿Quién escribió el libro Diarió de una ninfomana?,Valérie Tasso
P1,¿Quién escribió el libro Ḳadish la-yeled she-lo nolad?,Imre Kertész
P1,¿Quién escribió el libro Hanging hill?,Mo Hayder
P2,¿De qué país es el autor del libro Diarió de una ninfomana?,Spain
P2,¿De qué país es el autor del libro Ḳadish la-yeled she-lo nolad?,Germany
P2,¿De qué país es el autor del libro Hanging hill?,United Kingdom
P3,¿De qué año es el libro Rimas y declaraciones poéticas?,1999
P3,¿De qué año es el libro Prentice Hall Literature--Copper?,1991
P3,¿De qué año es el libro LEFECTE FRANKENSTEIN?,2019
P4,Dime el género o el tópico principal del libro Monty Python's second film,"Monty Python and the Holy Grail (Motion picture), Motion picture plays"
P4,Dime el género o el tópico principal del libro Cultura e poder entre o Império e a República,"History, Intellectual life"
P4,Dime el género o el tópico principal del libro Ida e volta,"Description and travel, Journeys, Portuguese Authors"
P5,Dime alguna editorial que haya publicado el libro Dieu ne se laisse pas chasser,"Apostolat des éditions, Editions Paulines"
P5,Dime alguna editorial que haya publicado el libro Großes Bundesverdienstkreuz,"AutorenEdition, Rowohlt, Steidl"
P5,Dime alguna editorial que haya publicado el libro Im Leuchtkäferlicht (German Edition),Allitera Verlag
