pregunta,respuesta
En cual año fue publicada la obra Pasajeros perdurables?,2006
En cual año fue publicada la obra Daemon?,2022
En cual año fue publicada la obra Pascua?,2014
En cual año fue publicada la obra La contadora de películas?,2009
En cual año fue publicada la obra Inmovilidad De Los Barcos (Coleccion Poesia # 73)?,1997
En cual año fue publicada la obra Saca La Lengua?,1999
En cual año fue publicada la obra Veneno de escorpión azul?,2007
En cual año fue publicada la obra Segundo Anillo de Poder?,2015
En cual año fue publicada la obra Sudoku Clasicos 2?,2006
En cual año fue publicada la obra Antologia del Cuento Extrao 4?,1998
En cual año fue publicada la obra Qué dicen los khipus?,2019
En cual año fue publicada la obra Érase mi alma?,2009
En cual año fue publicada la obra Cuentos Tradionales y Cuentos para la Nueva Generación?,2018
En cual año fue publicada la obra El AÃ±o Que Rompi Contigo/the Year I Left You?,2003
En cual año fue publicada la obra Porque Escribí?,1997
En cual año fue publicada la obra Hotel en Shangri-La?,2011
En cual año fue publicada la obra Mi cuerpo es una celda?,2008
En cual año fue publicada la obra Uslar y lo alemán?,2012
En cual año fue publicada la obra Olmedo?,2009
En cual año fue publicada la obra Resistir Cholo?,2006
En cual año fue publicada la obra El bosque sagrado?,2007
En cual año fue publicada la obra Cómo llegar a ser japonés?,2010
En cual año fue publicada la obra Erótica?,2015
En cual año fue publicada la obra Catequesis Yerbiadas V - El Orden Sagrado?,2005
En cual año fue publicada la obra El Pirata Pata de Palo (Primer Acto: Teatro Infantil y Juvenil) (Primer Acto: Teatro Infantil y Juvenil)?,1997
En cual año fue publicada la obra Cantos de la man ana?,2003
En cual año fue publicada la obra Princesa Llamada Zulia?,2019
"En cual año fue publicada la obra Deseo, Mil Lágrimas?",2020
En cual año fue publicada la obra La expulsión del paraíso?,2006
En cual año fue publicada la obra Dulce animal de compañía?,2019
En cual año fue publicada la obra Para qué leer?,2011
En cual año fue publicada la obra ¡Comunista por siempre!?,2009
En cual año fue publicada la obra El volver de las imágenes?,2008
En cual año fue publicada la obra Martin Heidegger?,2004
En cual año fue publicada la obra Teatro Completo 1?,2003
En cual año fue publicada la obra Pinceladas musicales?,2019
En cual año fue publicada la obra Maravillas pulgares?,2012
En cual año fue publicada la obra Chile a ciegas?,2012
En cual año fue publicada la obra Escrivisiones a partir de fotogravivas?,2011
En cual año fue publicada la obra Aura latente?,2021
En cual año fue publicada la obra Paraguay?,2011
En cual año fue publicada la obra Poesía por mandato?,2014
En cual año fue publicada la obra 1810?,2010
En cual año fue publicada la obra Antologia Poetica - Elvio Romero?,1995
En cual año fue publicada la obra Óscar y las mujeres?,2013
En cual año fue publicada la obra Rêves et réalités / Sueños y realidades?,2005
En cual año fue publicada la obra Riplay?,2015
En cual año fue publicada la obra Conjurar a Babel?,2012
En cual año fue publicada la obra Bilbao y el hallazgo de América Latina?,2012
En cual año fue publicada la obra Una Vaca Querida / A Well-Loved Cow?,2001
En cual año fue publicada la obra Cartas y lecturas de Eugenio Espejo?,2008
En cual año fue publicada la obra Mujeres?,1993
En cual año fue publicada la obra El ferrocarril invisible?,2009
En cual año fue publicada la obra El orden de las letras?,2021
En cual año fue publicada la obra Ajuste estructural de las finanzas públicas 1998-2004?,2005
En cual año fue publicada la obra Angeles del miedo?,1988
En cual año fue publicada la obra Historia de la organización electoral en Colombia (1888-2012)?,2013
En cual año fue publicada la obra Prosa y circunstancia?,1999
En cual año fue publicada la obra Derechos humanos y desarrollo?,2007
En cual año fue publicada la obra Sospechosos en tránsito?,2017
En cual año fue publicada la obra Fotografía en oscuro?,2008
En cual año fue publicada la obra Caso Zapata?,2016
En cual año fue publicada la obra La mujer de Ameghino : un inventario enloquecido de Buenos Aires?,2014
En cual año fue publicada la obra Ñeenga raity?,2014
En cual año fue publicada la obra Humor Idiota?,2004
En cual año fue publicada la obra Pasión de papel?,2007
En cual año fue publicada la obra Pie de atleta?,2002
En cual año fue publicada la obra Años en el cuerpo?,2005
En cual año fue publicada la obra Hienas?,2016
En cual año fue publicada la obra Venezuela?,2011
"En cual año fue publicada la obra Lenguas de Diamante, Las?",1999
En cual año fue publicada la obra Inodoro Pereyra 10?,2005
En cual año fue publicada la obra Cuentos en-red-@-dos?,2003
En cual año fue publicada la obra El voto del agua tibia?,2017
En cual año fue publicada la obra Rebelión?,2020
En cual año fue publicada la obra Inodoro Pereyra 4?,2005
En cual año fue publicada la obra El más absurdo de todos los personajes?,2010
En cual año fue publicada la obra Al encuentro de las tres Marías?,2008
En cual año fue publicada la obra Barcelona senza fine?,2011
"En cual año fue publicada la obra Manuel José Yrarrázaval Larraín, 1835-1896?",2005
En cual año fue publicada la obra El techo de la ballena?,2008
En cual año fue publicada la obra El poeta que tocaba tambor?,2014
En cual año fue publicada la obra El guardián de los recuerdos?,2012
En cual año fue publicada la obra Oficio De Cartgrafo (Sociologia)?,2002
En cual año fue publicada la obra La Fortuna?,2004
En cual año fue publicada la obra Realidad Aparte (Spanish Edition)?,2015
"En cual año fue publicada la obra Pedro Arévalo, Juan de Dios Agraz y Fernando Suárez?",2012
"En cual año fue publicada la obra La Mesa Redonda sobre ""Todas las Sangres"" del 23 de junio de 1965?",2000
En cual año fue publicada la obra De un lado y del otro?,2006
En cual año fue publicada la obra Los invencibles?,2007
En cual año fue publicada la obra Mundo perdido?,2010
"En cual año fue publicada la obra Mensajeros del cosmos, Una Puerta hacia las Estrellas?",1999
En cual año fue publicada la obra La cara oculta del cine?,2011
En cual año fue publicada la obra Pirí?,2012
En cual año fue publicada la obra Todo legal?,2022
En cual año fue publicada la obra Estampas del candombe =?,2008
En cual año fue publicada la obra Tratado de cielo para jóvenes poetas?,2008
En cual año fue publicada la obra Controversia sobre las fiestas oficiales centro Andinas?,2019
En cual año fue publicada la obra Uruguay en la mira del narco?,2021
En cual año fue publicada la obra Los límites del milagro?,2014
