Tipo,Pregunta,Respuesta
P1,"¿Quién escribio el libro ""The Massawippi Monster and other friends of mine""?",Ronald Sutherland
P1,"¿Quién escribio el libro ""Rites""?",Victor Perera
P1,"¿Quién escribio el libro ""Behind The Desk With...Matt Christopher""?",Dale Christopher
P1,"¿Quién escribio el libro ""Life of Henry David Thoreau""?",Henry Stephens Salt
P1,"¿Quién escribio el libro ""Steeplejack""?",James Huneker
P1,"¿Quién escribio el libro ""Edgar Allan Poe""?",Heinrich Buchholz
P1,"¿Quién escribio el libro ""El umbral""?",Patrick Senécal
P1,"¿Quién escribio el libro ""Gertrude Stein""?",Gertrude Stein
P1,"¿Quién escribio el libro ""Literary Titans Revisited""?",Anne Urbancic
P1,"¿Quién escribio el libro ""Bag of Bones""?",Stephen King
P1,"¿Quién escribio el libro ""Three great plays""?",Eugene O'Neill
P1,"¿Quién escribio el libro ""Hildegarde's harvest""?",Laura Elizabeth Howe Richards
P1,"¿Quién escribio el libro ""William Cullen Bryant""?","Bigelow, John"
P1,"¿Quién escribio el libro ""Wars I have seen""?",Gertrude Stein
P1,"¿Quién escribio el libro ""The secret of the Hardy boys""?",Marilyn S. Greenwald
P1,"¿Quién escribio el libro ""Palomar""?",Italo Calvino
P1,"¿Quién escribio el libro ""Passages""?",Michelle Berry
P1,"¿Quién escribio el libro ""Writers of Newfoundland and Labrador""?",Lisa De Leon
P1,"¿Quién escribio el libro ""The Duncan Campbell Scott Symposium""?",K. P. Stich
P1,"¿Quién escribio el libro ""The wars""?",Timothy Findley
P1,"¿Quién escribio el libro ""The voice is the story""?",Laurie Kruk
P1,"¿Quién escribio el libro ""White Girls""?",Hilton Als
P1,"¿Quién escribio el libro ""Samson's hair and other satiric fantasies""?",Keith Garebian
P1,"¿Quién escribio el libro ""Exile's return""?",Malcolm Cowley
P1,"¿Quién escribio el libro ""Off the road""?",Carolyn Cassady
P1,"¿Quién escribio el libro ""The dream""?",Harry Bernstein
P1,"¿Quién escribio el libro ""Second Chapter""?",Don Denton
P1,"¿Quién escribio el libro ""Maud""?",Harry Bruce
P1,"¿Quién escribio el libro ""The child of someone""?",David Helwig
P1,"¿Quién escribio el libro ""Dictionary of Literary Pseudonyms in the English Language""?",T. J. Carty
P1,"¿Quién escribio el libro ""My dear Susan Ann""?",Joseph Howe
P1,"¿Quién escribio el libro ""Running in the family""?",Michael Ondaatje
P1,"¿Quién escribio el libro ""Dérives""?",Biz
P1,"¿Quién escribio el libro ""Out of Place""?",Edward W. Said
P1,"¿Quién escribio el libro ""Zora Hurston and the chinaberry tree""?",Ying-hwa Hu
P1,"¿Quién escribio el libro ""The Stoned Apocalypse""?",Marco Vassi
P1,"¿Quién escribio el libro ""The little locksmith""?",Katharine Butler Hathaway
