question,type,expected_answer,model_answer,is_correct
¿Quién escribió el libro Diarió de una ninfomana?,P1,Valérie Tasso,Margaret Atwood,False
¿Quién escribió el libro Ḳadish la-yeled she-lo nolad?,P1,Imre Kertész,Abraham Isaac Kardiner,False
¿Quién escribió el libro Hanging hill?,P1,Mo Hayder,Charles Dickens,False
¿Quién escribió el libro Murder on the Railways?,P1,Emma Orczy,Agatha Christie,False
¿Quién escribió el libro Basic Income?,P1,Philippe Van Parijs,"Max Bedaux, Philippe Van Parijs, Thomas Greco",False
¿Quién escribió el libro Paris?,P1,Isabelle Spaak,Colin Thubron,False
¿Quién escribió el libro The scope of anthropology?,P1,Claude Lévi-Strauss,Kent Holden,False
¿Quién escribió el libro Textall?,P1,Gerhard Rühm,David Foster Wallace,False
¿Quién escribió el libro Deutsche Künstler im Exil 1933-1945?,P1,Herta Müller,Hans-Jürgen Becker,False
¿Quién escribió el libro The Elusive Pimpernel (Scarlet Pimpernel)?,P1,Emma Orczy,Baroness Orczy,True
¿Quién escribió el libro Der tollste Tag?,P1,Peter Turrini,Hans-Christian Andersen,False
¿Quién escribió el libro What Was She Thinking? Notes on a Scandal?,P1,Zoë Heller,Fiona Maiz,False
"¿Quién escribió el libro León insólito ; León, ayer y hoy?",P1,Victoriano Crémer,Jon Fosse,False
¿Quién escribió el libro In achtzig Jahren um die Welt?,P1,W. Michael Blumenthal,Christoph Hasenberg,False
¿Quién escribió el libro De Ceuta a Timor?,P1,Luís Filipe Thomáz,José Ortega y Gasset,False
¿Quién escribió el libro Finding Time Again?,P1,Marcel Proust,Susanna Clarke,False
¿Quién escribió el libro Emilia Pardo Bazán?,P1,Cristina Fernández Cubas,José Álvarez Juncal,False
¿Quién escribió el libro Un Ete Avec Kim Novak?,P1,Håkan Nesser,Jean-Christophe Grangé,False
¿Quién escribió el libro Les trois anneaux?,P1,Etienne Barilier,J.R.R. Tolkien,False
¿Quién escribió el libro Legenda ob Ulenshpigele?,P1,Charles de Coster,Rudyard Kipling,False
¿Quién escribió el libro The history of the Scottish Parliament?,P1,Keith Mann,David Potter,False
¿Quién escribió el libro Barabbas ; Escurial?,P1,Michel de Ghelderode,Leonardo Sciascia,False
¿Quién escribió el libro Die Kinder Abrahams?,P1,Peter Sichrovsky,Hans Fassler,False
¿Quién escribió el libro Batalha de flores?,P1,António Ferro,José Saramago,False
¿Quién escribió el libro El olvido de sí- 2022?,P1,Pablo d'Ors,Paulina Zertuche,False
¿Quién escribió el libro Fiendens fiende?,P1,Jan Guillou,Kurt Vonnegut,False
¿Quién escribió el libro Ecrits?,P1,Charles Koechlin,Jacques Lacan,False
¿Quién escribió el libro Bronsteins Kinder?,P1,Jurek Becker,Erich Heckner,False
¿Quién escribió el libro Vita?,P1,Melania G. Mazzucco,Leonardo da Vinci,False
¿Quién escribió el libro Vägen till Jerusalem?,P1,Jan Guillou,Ingmar Bergman,False
¿Quién escribió el libro Grimm Reader?,P1,A. S. Byatt,James Nightshade,False
¿Quién escribió el libro I fuochi dello sguardo?,P1,Achille Bonito Oliva,Andrea Vitali,False
¿Quién escribió el libro Sia Calendar 2022?,P1,Rebecca Mader,Sia Keena,False
¿Quién escribió el libro EL UNIVERSO DE FEDERICO FELLINI?,P1,Felipe González,Umberto Eco,False
¿Quién escribió el libro Litr cieklego olowiu?,P1,Andrzej Pilipiuk,Stanisław Lem,False
¿Quién escribió el libro Il mistero di Mangiabarche?,P1,Massimo Carlotto,Andrea Camilleri,False
¿Quién escribió el libro ha-Min ha-sheni?,P1,Simone de Beauvoir,Mordecai I. Weinstein,False
¿Quién escribió el libro Mécanique analytique?,P1,Joseph-Louis Lagrange,Pierre-Simon Laplace,False
¿Quién escribió el libro The way?,P1,Josemaría Escrivá de Balaguer,Lao Tzu,False
¿Quién escribió el libro La ira?,P1,Zoé Valdés,Isabel Allende,False
¿Quién escribió el libro Meie vanad?,P1,Jaan Lattik,J.R.R. Tolkien,False
¿Quién escribió el libro Die verborgenen Gärten. Roman?,P1,Martin R. Dean,Dietrich von Spee,False
¿Quién escribió el libro Wer bin ich??,P1,Roger Schawinski,Johann Wolfgang von Goethe,False
¿Quién escribió el libro Aknos?,P1,Fulvio Caccia,Fyodor Dostoevsky,False
¿Quién escribió el libro Neues Bewusstsein?,P1,Peter Sloterdijk,Alfred Adler,False
¿Quién escribió el libro The Colours of Infinity?,P1,Benoît Mandelbrot,Terry Pratchett,False
¿Quién escribió el libro The Breuss Cancer Cure?,P1,Rudolf Breuss,Kenneth Ruya,False
¿Quién escribió el libro Uplake?,P1,Spagna,Gary Snyder,False
¿Quién escribió el libro Działanie?,P1,Jacek Kuroń,Stanisław Lem,False
¿Quién escribió el libro Wonderful Words for Writing?,P1,Q25161,Jane Aiken Hodge,False
¿Quién escribió el libro History of Incas (Hakluyt Society Works Ser .: No 2 Vol 22)?,P1,Pedro Sarmiento de Gamboa,William Robertson,False
¿Quién escribió el libro Midnight's Children?,P1,Salman Rushdie,Salman Rushdie,True
¿Quién escribió el libro Dichter im Einsatz?,P1,Dieter Fringeli,Alfred Polan,False
¿Quién escribió el libro Lettres de Pierre Martyr Anghiera Relatives Aux découvertes Maritimes des Espagnols et des Portugais?,P1,Pedro Mártir de Anglería,Pierre Martyr Anghiera,False
¿Quién escribió el libro Selected exaggerations?,P1,Peter Sloterdijk,Jean Rhys,False
¿Quién escribió el libro Der Dorfkaiser?,P1,Paul Sutermeister,Franz von Kobeltitz,False
¿Quién escribió el libro Vehicles?,P1,Valentino Braitenberg,Michael C. Martin,False
"¿Quién escribió el libro Delilles ,,Gärten?",P1,Victor Klemperer,Johann Conrad Dr nodt,False
¿Quién escribió el libro Bilder meines Lebens?,P1,Peter Ustinov,Johann Wolfgang von Goethe,False
¿Quién escribió el libro Una grande storia d'amore?,P1,Susanna Tamaro,Umberto Eco,False
¿Quién escribió el libro We Can Do I.T. Too?,P1,Nada,Joan Newman,False
¿Quién escribió el libro State of affairs?,P1,Jesús Padilla Gálvez,Phil Gregory,False
¿Quién escribió el libro Das Wirken der Seele?,P1,Rudolf Eisler,Johann Wolfgang von Goethe,False
¿Quién escribió el libro Hitlers Inselwahn?,P1,John Nettles,John Toland,False
¿Quién escribió el libro Retour sur l'île?,P1,Viveca Sten,Jules Verne,False
¿Quién escribió el libro Mr. Gwyn & Three Times at Dawn?,P1,Alessandro Baricco,Donald Antrim,False
¿Quién escribió el libro Den politisk-satiriske Viktor Rydberg?,P1,Viktor Rydberg,Per Henrik Ling,False
¿Quién escribió el libro Cinzas do passado?,P1,Martin Suter,José Saramago,False
"¿Quién escribió el libro Adiciones, Apéndice a la postilla?",P1,Bernardino de Sahagún,Terry Pratchett,False
¿Quién escribió el libro Mitten ins Herz?,P1,Margret Kreidl,Uta Hollander,False
¿Quién escribió el libro Um amor feliz?,P1,David Mourão-Ferreira,Frances Hodgson Burnett,False
¿Quién escribió el libro Der deutsche auswanderer nach den Vereinigten Staaten von Nordamerika?,P1,Alexander Ziegler,Gustav Opper,False
¿Quién escribió el libro Les enjeux du XXIe siècle?,P1,Eric Hobsbawm,Francis Fukuyama,False
¿Quién escribió el libro Due bellissime signore?,P1,Mario Biondi,Alberto Moravia,False
¿Quién escribió el libro T. J. and the Penalty?,P1,Theo Walcott,Nathanael West,False
"¿Quién escribió el libro Jimmy Flitz, die Schweizermaus?",P1,Roland Zoss,Albert Meissner,False
¿Quién escribió el libro Das Meer?,P1,Jan Hoet,Alfred Kubin,False
¿Quién escribió el libro Honeycomb?,P1,Joanne Harris,Laurie Halse Anderson,False
¿Quién escribió el libro Hans Eisenmann?,P1,Otto Bauer,Werner Parwe,False
¿Quién escribió el libro Contraception and chastity?,P1,Elizabeth Anscombe,William Acton,False
¿Quién escribió el libro L'Esprit Saint?,P1,Juan Pablo II,Jean-Jacques Rousseau,False
¿Quién escribió el libro La morte condivisa?,P1,Giovanni Franzoni,Umberto Eco,False
¿Quién escribió el libro Den flödande lyckan?,P1,Eva Ström,Harry Martinson,False
¿Quién escribió el libro Wiersze i obrazki?,P1,Julian Przyboś,Jan Brzechwa,False
¿Quién escribió el libro The continuum companion to anarchism?,P1,Ruth Kinna,Edited by David Graeber and Tarquin van Doomgaard,False
¿Quién escribió el libro Green Ring?,P1,Zinaída Guíppius,James Patterson,False
¿Quién escribió el libro Pájinas escojidas?,P1,Juan Ramón Jiménez,Federico García Lorca,False
¿Quién escribió el libro Il panno di mastro Gervaso?,P1,Danila Comastri Montanari,Giovanni Verga,False
¿Quién escribió el libro Une hirondelle ne fait pas le printemps?,P1,Éric-Emmanuel Schmitt,Philippe Grimbert,False
¿Quién escribió el libro Libros de amor?,P1,Juan Ramón Jiménez,Guillermo Pérez López,False
¿Quién escribió el libro De reis van de voorganger?,P1,Per Olov Enquist,Johannes Vermeer,False
¿Quién escribió el libro Nach dem Schlussakkord?,P1,Alfred Brendel,Alfred Döblin,False
¿Quién escribió el libro Brev?,P1,Stig Dagerman,Javier Marías,False
¿Quién escribió el libro Vom Verlust der Scham und dem allmählichen Verschwinden der Demokratie?,P1,Carl Amery,Michael Walzer,False
"¿Quién escribió el libro Europe, Globalization, and the Coming of the Universal Caliphate?",P1,Bat Ye'or,Sebastian Lowe,False
"¿Quién escribió el libro Tsvantsig yor in Varshever ""Bund""?",P1,Bernard Goldstein,Yitzhak Amsterdam,False
¿Quién escribió el libro Die letzte Nacht?,P1,Karl Kraus,Alfred Döblin,False
¿Quién escribió el libro Die kleine Märchenreise?,P1,Ulrich Karger,Susanne Kaiser,False
¿Quién escribió el libro We always wore sailor suits?,P1,Susanna Agnelli,Edward Hodgkin,False
¿Quién escribió el libro Regionalismus a internacionalismus v soudobé architektuře?,P1,Friedrich Achleitner,Jan Křivánek,False
¿De qué país es el autor del libro Diarió de una ninfomana?,P2,Spain,Francia,False
¿De qué país es el autor del libro Ḳadish la-yeled she-lo nolad?,P2,Germany,Israel,False
¿De qué país es el autor del libro Hanging hill?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro Murder on the Railways?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro Basic Income?,P2,Belgium,Finland,False
¿De qué país es el autor del libro Paris?,P2,Belgium,France,False
¿De qué país es el autor del libro The scope of anthropology?,P2,Belgium,Estados Unidos,False
¿De qué país es el autor del libro Textall?,P2,Austria,United Kingdom,False
¿De qué país es el autor del libro Deutsche Künstler im Exil 1933-1945?,P2,Germany,Alemania,True
¿De qué país es el autor del libro The Elusive Pimpernel (Scarlet Pimpernel)?,P2,United Kingdom,Reino Unido,True
¿De qué país es el autor del libro Der tollste Tag?,P2,Austria,Alemania,False
¿De qué país es el autor del libro What Was She Thinking? Notes on a Scandal?,P2,United Kingdom,United Kingdom,True
"¿De qué país es el autor del libro León insólito ; León, ayer y hoy?",P2,Spain,Argentina,False
¿De qué país es el autor del libro In achtzig Jahren um die Welt?,P2,Germany,Alemania,True
¿De qué país es el autor del libro De Ceuta a Timor?,P2,Portugal,España,False
¿De qué país es el autor del libro Finding Time Again?,P2,France,United Kingdom,False
¿De qué país es el autor del libro Emilia Pardo Bazán?,P2,Spain,España,True
¿De qué país es el autor del libro Un Ete Avec Kim Novak?,P2,Sweden,Francia,False
¿De qué país es el autor del libro Les trois anneaux?,P2,Switzerland,Francia,False
¿De qué país es el autor del libro Legenda ob Ulenshpigele?,P2,Belgium,Austria,False
¿De qué país es el autor del libro The history of the Scottish Parliament?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro Barabbas ; Escurial?,P2,Belgium,España,False
¿De qué país es el autor del libro Die Kinder Abrahams?,P2,Austria,Germany,False
¿De qué país es el autor del libro Batalha de flores?,P2,Portugal,Brasil,False
¿De qué país es el autor del libro El olvido de sí- 2022?,P2,Spain,España,True
¿De qué país es el autor del libro Fiendens fiende?,P2,Sweden,Sweden,True
¿De qué país es el autor del libro Ecrits?,P2,France,France,True
¿De qué país es el autor del libro Bronsteins Kinder?,P2,Poland,Austria,False
¿De qué país es el autor del libro Vita?,P2,Italy,Italy,True
¿De qué país es el autor del libro Vägen till Jerusalem?,P2,Sweden,Suecia,True
¿De qué país es el autor del libro Grimm Reader?,P2,United Kingdom,Germany,False
¿De qué país es el autor del libro I fuochi dello sguardo?,P2,Italy,Italia,True
¿De qué país es el autor del libro Sia Calendar 2022?,P2,United Kingdom,Finlandia,False
¿De qué país es el autor del libro EL UNIVERSO DE FEDERICO FELLINI?,P2,Spain,Italia,False
¿De qué país es el autor del libro Litr cieklego olowiu?,P2,Poland,Poland,True
¿De qué país es el autor del libro Il mistero di Mangiabarche?,P2,Italy,Italia,True
¿De qué país es el autor del libro ha-Min ha-sheni?,P2,France,Uzbekistan,False
¿De qué país es el autor del libro Mécanique analytique?,P2,France,Francia,True
¿De qué país es el autor del libro The way?,P2,Spain,China,False
¿De qué país es el autor del libro La ira?,P2,Spain,España,True
¿De qué país es el autor del libro Meie vanad?,P2,Sweden,Estonia,False
¿De qué país es el autor del libro Die verborgenen Gärten. Roman?,P2,Switzerland,Alemania,False
¿De qué país es el autor del libro Wer bin ich??,P2,Switzerland,Alemania,False
¿De qué país es el autor del libro Aknos?,P2,Switzerland,Russia,False
¿De qué país es el autor del libro Neues Bewusstsein?,P2,Germany,Alemania,True
¿De qué país es el autor del libro The Colours of Infinity?,P2,Poland,United Kingdom,False
¿De qué país es el autor del libro The Breuss Cancer Cure?,P2,Austria,Austria,True
¿De qué país es el autor del libro Uplake?,P2,Italy,United States,False
¿De qué país es el autor del libro Działanie?,P2,Poland,Polonia,True
¿De qué país es el autor del libro Wonderful Words for Writing?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro History of Incas (Hakluyt Society Works Ser .: No 2 Vol 22)?,P2,Spain,England,False
¿De qué país es el autor del libro Midnight's Children?,P2,United Kingdom,India,False
¿De qué país es el autor del libro Dichter im Einsatz?,P2,Switzerland,Alemania,False
¿De qué país es el autor del libro Lettres de Pierre Martyr Anghiera Relatives Aux découvertes Maritimes des Espagnols et des Portugais?,P2,Spain,Francia,False
¿De qué país es el autor del libro Selected exaggerations?,P2,Germany,United Kingdom,False
¿De qué país es el autor del libro Der Dorfkaiser?,P2,Switzerland,Austria,False
¿De qué país es el autor del libro Vehicles?,P2,Italy,United States,False
"¿De qué país es el autor del libro Delilles ,,Gärten?",P2,Poland,Germany,False
¿De qué país es el autor del libro Bilder meines Lebens?,P2,United Kingdom,Austria,False
¿De qué país es el autor del libro Una grande storia d'amore?,P2,Italy,Italia,True
¿De qué país es el autor del libro We Can Do I.T. Too?,P2,Italy,Estados Unidos,False
¿De qué país es el autor del libro State of affairs?,P2,Spain,United Kingdom,False
¿De qué país es el autor del libro Das Wirken der Seele?,P2,Austria,Alemania,False
¿De qué país es el autor del libro Hitlers Inselwahn?,P2,United Kingdom,Austria,False
¿De qué país es el autor del libro Retour sur l'île?,P2,Sweden,Francia,False
¿De qué país es el autor del libro Mr. Gwyn & Three Times at Dawn?,P2,Italy,United Kingdom,False
¿De qué país es el autor del libro Den politisk-satiriske Viktor Rydberg?,P2,Sweden,Suecia,True
¿De qué país es el autor del libro Cinzas do passado?,P2,Spain,Portugal,False
"¿De qué país es el autor del libro Adiciones, Apéndice a la postilla?",P2,Spain,España,True
¿De qué país es el autor del libro Mitten ins Herz?,P2,Austria,Alemania,False
¿De qué país es el autor del libro Um amor feliz?,P2,Portugal,Argentina,False
¿De qué país es el autor del libro Der deutsche auswanderer nach den Vereinigten Staaten von Nordamerika?,P2,Switzerland,Alemania,False
¿De qué país es el autor del libro Les enjeux du XXIe siècle?,P2,United Kingdom,Francia,False
¿De qué país es el autor del libro Due bellissime signore?,P2,Italy,Italia,True
¿De qué país es el autor del libro T. J. and the Penalty?,P2,United Kingdom,United States,False
"¿De qué país es el autor del libro Jimmy Flitz, die Schweizermaus?",P2,Switzerland,Switzerland,True
¿De qué país es el autor del libro Das Meer?,P2,Belgium,Germany,False
¿De qué país es el autor del libro Honeycomb?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro Hans Eisenmann?,P2,Austria,Austria,True
¿De qué país es el autor del libro Contraception and chastity?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro L'Esprit Saint?,P2,Poland,Francia,False
¿De qué país es el autor del libro La morte condivisa?,P2,Italy,Italia,True
¿De qué país es el autor del libro Den flödande lyckan?,P2,Sweden,Sweden,True
¿De qué país es el autor del libro Wiersze i obrazki?,P2,Poland,Polonia,True
¿De qué país es el autor del libro The continuum companion to anarchism?,P2,United Kingdom,United Kingdom,True
¿De qué país es el autor del libro Green Ring?,P2,France,Japan,False
¿De qué país es el autor del libro Pájinas escojidas?,P2,Spain,España,True
¿De qué país es el autor del libro Il panno di mastro Gervaso?,P2,Italy,Italia,True
¿De qué país es el autor del libro Une hirondelle ne fait pas le printemps?,P2,Belgium,Francia,False
¿De qué país es el autor del libro Libros de amor?,P2,Spain,Francia,False
¿De qué país es el autor del libro De reis van de voorganger?,P2,Sweden,Países Bajos,False
¿De qué país es el autor del libro Nach dem Schlussakkord?,P2,Austria,Austria,True
¿De qué país es el autor del libro Brev?,P2,Sweden,Argentina,False
¿De qué país es el autor del libro Vom Verlust der Scham und dem allmählichen Verschwinden der Demokratie?,P2,Germany,Alemania,True
"¿De qué país es el autor del libro Europe, Globalization, and the Coming of the Universal Caliphate?",P2,United Kingdom,United Kingdom,True
"¿De qué país es el autor del libro Tsvantsig yor in Varshever ""Bund""?",P2,Poland,Russia,False
¿De qué país es el autor del libro Die letzte Nacht?,P2,Austria,Germany,False
¿De qué país es el autor del libro Die kleine Märchenreise?,P2,Germany,Germany,True
¿De qué país es el autor del libro We always wore sailor suits?,P2,Italy,Estados Unidos,False
¿De qué país es el autor del libro Regionalismus a internacionalismus v soudobé architektuře?,P2,Austria,República Checa,False
¿De qué año es el libro Rimas y declaraciones poéticas?,P3,1999,1870,False
¿De qué año es el libro Prentice Hall Literature--Copper?,P3,1991,2006,False
¿De qué año es el libro LEFECTE FRANKENSTEIN?,P3,2019,1818,False
¿De qué año es el libro Stormy isles?,P3,1998,1993,False
¿De qué año es el libro Witch Week?,P3,2000,1974,False
¿De qué año es el libro Some organising principles =?,P3,1993,2020,False
¿De qué año es el libro Semantic relationism?,P3,2007,1985,False
¿De qué año es el libro The Root of Evil?,P3,2018,1953,False
¿De qué año es el libro Liebe Stimme?,P3,2000,1999,False
¿De qué año es el libro Au pays des malices?,P3,1980,1989,False
"¿De qué año es el libro Gespräche über Gott, Geist und Geld?",P3,2014,1954,False
"¿De qué año es el libro A Torre de Babel, ou, A porra do Soriano?",P3,2011,1915,False
¿De qué año es el libro Sangre azul?,P3,1996,1998,False
¿De qué año es el libro Zofingen und sein Bezirk?,P3,1989,1993,False
¿De qué año es el libro Treze contos obrigados a mote e mais um?,P3,2003,1974,False
¿De qué año es el libro Brief an D.?,P3,2008,1992,False
¿De qué año es el libro FORTSCHRITTSMYTHEN?,P3,1983,1986,False
"¿De qué año es el libro Werbung, Theorie und Praxis werblicher Beeinflussung?",P3,1980,1984,False
¿De qué año es el libro Joseph Roths Flucht und Ende?,P3,1994,1932,False
¿De qué año es el libro Páginas escogidas?,P3,1973,1933,False
¿De qué año es el libro Livin'La Vida Loca and Other Hits of Ricky Martin (Essential Gropus & Artists)?,P3,1999,2006,False
¿De qué año es el libro Trilogía de Falcó?,P3,2018,2013,False
¿De qué año es el libro Economic Policy?,P3,2010,1987,False
¿De qué año es el libro O mar cor de vinho?,P3,1996,2019,False
¿De qué año es el libro Female Entrepreneurship As a Driving Force of Economic Growth and Social Change?,P3,2023,2017,False
¿De qué año es el libro Responding to Natural Disasters (Set)?,P3,2022,1992,False
¿De qué año es el libro Les Parets en llibertat?,P3,1977,1939,False
¿De qué año es el libro Un trabajo fácil?,P3,1986,1983,False
¿De qué año es el libro Herrmann the Great's Wizard Manual?,P3,2020,1922,False
¿De qué año es el libro Wien?,P3,1970,1953,False
"¿De qué año es el libro Lecture en fête, méthode de lecture?",P3,1996,1988,False
¿De qué año es el libro ¿Qué es filosofía??,P3,1964,1969,False
¿De qué año es el libro Negotiating Water Governance?,P3,2015,2018,False
¿De qué año es el libro Biblioteca 1?,P3,2004,2008,False
¿De qué año es el libro Kleine Schriften. Band 1 (von 3).?,P3,1985,1798,False
¿De qué año es el libro Paraplegie?,P3,2006,1864,False
¿De qué año es el libro Herbert nieznany?,P3,2008,1986,False
¿De qué año es el libro Two Hundred?,P3,2018,2023,False
¿De qué año es el libro Don Quijote De La Mancha (Punto de Encuentro (Editorial Everest))?,P3,2005,1605,False
¿De qué año es el libro Tous les lointains sont bleus?,P3,2015,2018,False
¿De qué año es el libro Suomalaisesta runoudesta?,P3,1983,1930,False
¿De qué año es el libro Dziewczyny Bonda?,P3,2004,2023,False
"¿De qué año es el libro Wagner-Probleme, und Andere Studien?",P3,2018,1908,False
¿De qué año es el libro Borkmann Noktası?,P3,2019,2014,False
¿De qué año es el libro Roma fuggitiva?,P3,2011,1969,False
"¿De qué año es el libro Nus, féroces et anthropophages?",P3,2004,1986,False
¿De qué año es el libro Economia i pensament econòmic a la Catalunya de l'alta edat moderna (1520-1630)?,P3,2006,2013,False
¿De qué año es el libro Communications and Multimedia Security?,P3,2005,2017,False
¿De qué año es el libro Recollections of Henri Rousseau?,P3,2006,1910,False
¿De qué año es el libro Enlightened Machines?,P3,2018,2023,False
¿De qué año es el libro Great short stories of the masters?,P3,2003,1930,False
¿De qué año es el libro Evguénie Sokolov?,P3,1985,2006,False
¿De qué año es el libro Seismographische Funktion von Öffentlichkeit im Wandel?,P3,2008,2018,False
¿De qué año es el libro Histoire d'une Marie?,P3,1997,1999,False
¿De qué año es el libro Een vrouw voor elk seizoen?,P3,2011,2019,False
¿De qué año es el libro The greatest firefighter stories never told?,P3,2002,2012,False
¿De qué año es el libro La via del deserto?,P3,2013,1961,False
¿De qué año es el libro Crimini?,P3,2007,1983,False
¿De qué año es el libro As leis do caos?,P3,1990,1988,False
"¿De qué año es el libro The Birth of the Modern, Part 2 of 3?",P3,1991,1998,False
¿De qué año es el libro L'image publique?,P3,1997,1960,False
¿De qué año es el libro Europa im Aufbruch?,P3,1992,1969,False
¿De qué año es el libro Véspera da água?,P3,2014,2019,False
¿De qué año es el libro Formula 1 99/00?,P3,2000,1999,False
¿De qué año es el libro De l'inhumanité de la religion?,P3,2000,1838,False
¿De qué año es el libro Los estragos del tiempo?,P3,1999,1959,False
¿De qué año es el libro Softwaretechnik?,P3,2012,1991,False
¿De qué año es el libro Sanningslekar?,P3,1990,1986,False
¿De qué año es el libro Morte accidentale di un anarchico?,P3,2004,1966,False
¿De qué año es el libro Families and how to survive them?,P3,1983,1987,False
¿De qué año es el libro Fortune des Rougon?,P3,2016,1884,False
¿De qué año es el libro God loves me?,P3,1977,2006,False
