pregunta,respuesta
De qué país es el autor de la obra Selección de centenario?,Colombia
De qué país es el autor de la obra Nux vómica?,Ecuador
De qué país es el autor de la obra El Chile que no queremos?,Chile
De qué país es el autor de la obra Crónicas casi históricas?,Colombia
De qué país es el autor de la obra Javier Viveros?,Paraguay
De qué país es el autor de la obra Historia de un encargo?,Venezuela
De qué país es el autor de la obra Otros septiembres?,Chile
De qué país es el autor de la obra Ceremonia comentada?,Peru
De qué país es el autor de la obra Aquellos Tiempos Con Gabo?,Colombia
De qué país es el autor de la obra De náufrago a pionero?,Uruguay
De qué país es el autor de la obra Morir Es Volver a Casa?,Uruguay
De qué país es el autor de la obra Antologia Personal?,Colombia
De qué país es el autor de la obra Manual de esgrima para elefantes?,Paraguay
De qué país es el autor de la obra San Anto?ito - 1. edicion?,Colombia
De qué país es el autor de la obra Reforma al sistema penal y carcelario en Uruguay?,Uruguay
De qué país es el autor de la obra Segundo Anillo de Poder?,Uruguay
De qué país es el autor de la obra El drama sin atenuantes?,Argentina
De qué país es el autor de la obra Antes del Requiem?,Argentina
"De qué país es el autor de la obra Vida, toma mi mano?",Chile
"De qué país es el autor de la obra Colombia, laboratorio de embrujos?",Colombia
De qué país es el autor de la obra Inmovilidad De Los Barcos (Coleccion Poesia # 73)?,Uruguay
De qué país es el autor de la obra El terror argentino?,Paraguay
De qué país es el autor de la obra Los diez mejores cuentos de la literatura boliviana?,Bolivia
De qué país es el autor de la obra Solo de saxo?,Chile
De qué país es el autor de la obra Catequesis Yerbiadas I?,Argentina
De qué país es el autor de la obra Versos teatrales?,Chile
De qué país es el autor de la obra Ka'i rembihasakue =?,Paraguay
De qué país es el autor de la obra Nicolás aprende los números?,Colombia
De qué país es el autor de la obra Pocitos?,Uruguay
De qué país es el autor de la obra Iglesia y Dictadura?,Argentina
De qué país es el autor de la obra Mujeres Argentinas/argentinian's Women?,Argentina
De qué país es el autor de la obra Dona Pinones?,Chile
"De qué país es el autor de la obra Mensajeros del cosmos, Una Puerta hacia las Estrellas?",Peru
De qué país es el autor de la obra La casa de la poesía?,Chile
De qué país es el autor de la obra Historia de Quito?,Ecuador
De qué país es el autor de la obra Fundacion Bigott 30 años?,Venezuela
De qué país es el autor de la obra Érase mi alma?,Colombia
De qué país es el autor de la obra 1877?,Bolivia
De qué país es el autor de la obra Juan Pedro López?,Uruguay
De qué país es el autor de la obra Zürich es una letra álef?,Colombia
De qué país es el autor de la obra El atravesado?,Colombia
De qué país es el autor de la obra Gracia y el forastero?,Chile
De qué país es el autor de la obra El joven Bolívar?,Venezuela
De qué país es el autor de la obra Helarte De Amar / Freeze from Loving?,Peru
De qué país es el autor de la obra ADES?,Uruguay
De qué país es el autor de la obra Carnaval de coplas cajamarquinas?,Peru
De qué país es el autor de la obra Un oscuro pedazo de vida?,Chile
De qué país es el autor de la obra El arte de leer a Garc©Ưa M©Łrquez?,Colombia
De qué país es el autor de la obra Sociologia de la Religion (Spanish Edition)?,Uruguay
De qué país es el autor de la obra Propósito Eterno de Dios para Mi Vida?,Uruguay
De qué país es el autor de la obra La Esposa Del Dr. Thorne?,Venezuela
De qué país es el autor de la obra Gloria de la Cruz?,Venezuela
De qué país es el autor de la obra Patíbulo para un caballo?,Peru
De qué país es el autor de la obra El auto?,Uruguay
De qué país es el autor de la obra Relatos?,Venezuela
De qué país es el autor de la obra Vida Breve (Edición Conmemorativa de la RAE y la ASALE) / a Brief Life?,Uruguay
De qué país es el autor de la obra Billie Ruth?,Bolivia
De qué país es el autor de la obra Los intensos goces de la escritura?,Argentina
De qué país es el autor de la obra Cañuela y petaca y otros cuentos?,Chile
De qué país es el autor de la obra Discurso de Ingreso en la Academia Boliviana de la Lengua?,Bolivia
De qué país es el autor de la obra El lenguaje de los diablos?,Venezuela
De qué país es el autor de la obra Diario de Santa María?,Peru
De qué país es el autor de la obra Consecuencias económicas del proceso de independencia en Colombia?,Colombia
"De qué país es el autor de la obra Sitio de Kelany, El?",Argentina
De qué país es el autor de la obra Poder popular y nación?,Argentina
De qué país es el autor de la obra Pobreza Espiritual Voluntaria?,Colombia
"De qué país es el autor de la obra Caso del Video Juego, El?",Argentina
De qué país es el autor de la obra Persona?,Uruguay
De qué país es el autor de la obra Muerte de Sevilla en Madrid?,Peru
De qué país es el autor de la obra Papeles de viento?,Peru
De qué país es el autor de la obra Las Encantadas?,Argentina
De qué país es el autor de la obra Nada se pierde con vivir?,Chile
De qué país es el autor de la obra Diálogos del porvenir?,Chile
De qué país es el autor de la obra El dedo de David Lynch?,Venezuela
De qué país es el autor de la obra El náufrago de la santa?,Peru
De qué país es el autor de la obra Bilbao y el hallazgo de América Latina?,Chile
"De qué país es el autor de la obra Andrés Avelino Cáceres, héroe de la resistencia?",Peru
De qué país es el autor de la obra Cartas a Julieta (1950)?,Colombia
De qué país es el autor de la obra Reserva Comunal Amarakaeri?,Peru
De qué país es el autor de la obra La invención del tren fantasma?,Argentina
De qué país es el autor de la obra Las almas del purgatorio?,Peru
"De qué país es el autor de la obra Poemas, prosa y cuentos cortos?",Argentina
De qué país es el autor de la obra El zoológico de Dios II?,Argentina
De qué país es el autor de la obra El caso Bonapelch?,Uruguay
De qué país es el autor de la obra Elegía a la muerte de Juan Ponce de León?,Venezuela
"De qué país es el autor de la obra Mundo Perfecto, Un - Derecho a la Sanidad - 4?",Uruguay
"De qué país es el autor de la obra Grandes éxitos, un cuento y una despedida?",Uruguay
De qué país es el autor de la obra Los Cuentos de Chepe?,Venezuela
De qué país es el autor de la obra Secretos de un jardín?,Uruguay
De qué país es el autor de la obra Realidad Aparte (Spanish Edition)?,Uruguay
De qué país es el autor de la obra Mapas Nocturnos - Dialogos Con La Obra Martin-Barb?,Colombia
De qué país es el autor de la obra Buceo excitante en las entrañas del tango?,Argentina
De qué país es el autor de la obra Abrir caminos?,Argentina
De qué país es el autor de la obra El mundo según Cabrujas?,Venezuela
De qué país es el autor de la obra Valizas?,Uruguay
De qué país es el autor de la obra Miscelánea humanística?,Peru
De qué país es el autor de la obra Bestiario Americano?,Ecuador
De qué país es el autor de la obra A partir de ahora el combate será libre?,Paraguay
De qué país es el autor de la obra 43 nuevos cri menes para resolver?,Argentina
De qué país es el autor de la obra Veneno de escorpión azul?,Chile
