idx,tipo,pregunta,respuesta_gold,respuesta_modelo,score,rule,latency_s,finish_reason,safety_flags
0,P1,¿Quién escribió el libro Diarió de una ninfomana?,Valérie Tasso,"El libro ""Diario de una ninfómana"" fue escrito por **Valerie Tasso**.",1,contains(gold),1.717,1,
1,P1,¿Quién escribió el libro Ḳadish la-yeled she-lo nolad?,Imre Kertész,"El libro ""Ḳadish la-yeled she-lo nolad"" (קדיש לילד שלא נולד) fue escrito por **Amos Oz**.",0,contains(gold),0.832,1,
2,P1,¿Quién escribió el libro Hanging hill?,Mo Hayder,"El libro ""Hanging Hill"" fue escrito por **Fiona Mountain**.",0,contains(gold),4.705,1,
3,P1,¿Quién escribió el libro Murder on the Railways?,Emma Orczy,"El libro ""Murder on the Railways"" fue escrito por **John P. Marston**.",0,contains(gold),0.593,1,
4,P1,¿Quién escribió el libro Basic Income?,Philippe Van Parijs,"El libro **""Basic Income: A Radical Proposal for a Free Society and a Sane Economy""** fue escrito por **Guy Standing**.",0,contains(gold),4.406,1,
5,P1,¿Quién escribió el libro Paris?,Isabelle Spaak,"El libro **""Paris""** fue escrito por **Émile Zola**.

Es una novela que forma parte de su monumental serie ""Los Cuatro Evangelios"" (Les Quatre Évangiles).",0,contains(gold),0.755,1,
6,P1,¿Quién escribió el libro The scope of anthropology?,Claude Lévi-Strauss,"El libro ""The Scope of Anthropology"" fue escrito por **Claude Lévi-Strauss**.",1,contains(gold),0.569,1,
7,P1,¿Quién escribió el libro Textall?,Gerhard Rühm,"No existe un libro conocido con el título ""Textall"". Es posible que te refieras a otro título o que haya un error en el nombre.

Si puedes proporcionar más detalles sobre el libro que buscas, como el tema, el autor que crees que podría haberlo escrito, o alguna otra información, podría ayudarte a identificarlo.",0,contains(gold),1.046,1,
8,P1,¿Quién escribió el libro Deutsche Künstler im Exil 1933-1945?,Herta Müller,"El libro **""Deutsche Künstler im Exil 1933-1945""** fue escrito por **Hildegard Krahé**.",0,contains(gold),46.163,1,
9,P1,¿Quién escribió el libro The Elusive Pimpernel (Scarlet Pimpernel)?,Emma Orczy,"El libro ""The Elusive Pimpernel"" (también conocido como ""The Scarlet Pimpernel"") fue escrito por **Baroness Orczy**.",0,contains(gold),1.628,1,
