pregunta,respuesta
"¿Quién es el autor de la obra Mal y neomal?; Responde con una de estas opciones: (a) Jacobo Langsner, (b) Alcibiades González Delvalle, (c) Carlos Labbé, (d) Amir Hamed",Amir Hamed
"¿Quién es el autor de la obra Un lugar llamado Oreja de Perro?; Responde con una de estas opciones: (a) Enrique Bernardo Núñez, (b) Dani Umpi, (c) Mariano Caucino, (d) Iván Thays",Iván Thays
"¿Quién es el autor de la obra El jinete en la lluvia?; Responde con una de estas opciones: (a) Carlos Sampayo, (b) Medardo Ángel Silva, (c) Julio Garmendia, (d) Agustín Squella",Agustín Squella
"¿Quién es el autor de la obra La literatura de Santa Fe?; Responde con una de estas opciones: (a) Héctor Yánover, (b) Tabaré Arapí, (c) Ígor Barreto, (d) Eduardo D'Anna",Eduardo D'Anna
"¿Quién es el autor de la obra Caballero?; Responde con una de estas opciones: (a) Memo Ánjel, (b) Guido Rodríguez Alcalá, (c) Rómulo Bustos, (d) Christian Reynoso",Guido Rodríguez Alcalá
"¿Quién es el autor de la obra Night and day?; Responde con una de estas opciones: (a) Edgardo Rivera Martínez, (b) Juan Carlos Mondragón, (c) Fernando Bermúdez Ardila, (d) Edgardo Russo",Juan Carlos Mondragón
"¿Quién es el autor de la obra Selección de poesías amorosas en lengua española?; Responde con una de estas opciones: (a) Óscar Bustamante, (b) Óscar Pantoja, (c) Alfonsina Storni, (d) Mariano Gambier",Alfonsina Storni
"¿Quién es el autor de la obra Los cuentos de Juana?; Responde con una de estas opciones: (a) Gabriela Mistral, (b) Álvaro Cepeda Samudio, (c) Jorge Salvador Lara, (d) Augusto Pinilla",Álvaro Cepeda Samudio
"¿Quién es el autor de la obra Historia de la literatura hispanoamericana?; Responde con una de estas opciones: (a) Alejandro Walker Valdés, (b) Andrés Salcedo, (c) José Miguel Oviedo, (d) Luis Perozo Cervantes",José Miguel Oviedo
"¿Quién es el autor de la obra No despertarás a mis siervos?; Responde con una de estas opciones: (a) Manuel Peyrou, (b) Oldman Botello, (c) Juan Pablo Meneses, (d) Enrique Ortega Salinas",Enrique Ortega Salinas
"¿Quién es el autor de la obra Rostro de hombre?; Responde con una de estas opciones: (a) Vicente Huidobro, (b) Pablo Azócar, (c) Gamaliel Churata, (d) Gastón Soublette",Gastón Soublette
"¿Quién es el autor de la obra Cartas de amor y otra correspondencia íntima?; Responde con una de estas opciones: (a) Leonardo Garet, (b) Delmira Agustini, (c) Juan Liscano, (d) Oscar Steimberg",Delmira Agustini
"¿Quién es el autor de la obra Veinte Poemas Para Ser Leidos En El Tranvia; Calcomanias; Y Otros Poemas (Colección Visor de poesia)?; Responde con una de estas opciones: (a) Oliverio Girondo, (b) Alejandro Sieveking, (c) Raúl Sohr, (d) Juan Gelman",Oliverio Girondo
"¿Quién es el autor de la obra Nefilim en alhue y otros relatos sobre la muerte?; Responde con una de estas opciones: (a) Marcos Sastre, (b) Federico Brito Figueroa, (c) Omar Pérez Santiago, (d) Gustavo Gorriti",Omar Pérez Santiago
"¿Quién es el autor de la obra El ayer que hizo al mundo de hoy?; Responde con una de estas opciones: (a) Diego Vargas Gaete, (b) Domingo Alberto Rangel, (c) Odi Gonzales, (d) Juan Cameron",Domingo Alberto Rangel
"¿Quién es el autor de la obra La voragine (Sepan Cuantos)?; Responde con una de estas opciones: (a) José Eustasio Rivera, (b) Pablo Huneeus, (c) Marcos Ybañez, (d) Edmundo Ribadeneira",José Eustasio Rivera
"¿Quién es el autor de la obra Sólo el azar (1. edición) (2011)?; Responde con una de estas opciones: (a) Diego Paszkowski, (b) Darío Jaramillo Agudelo, (c) Sergio Missana, (d) Miguel Castillo Didier",Darío Jaramillo Agudelo
"¿Quién es el autor de la obra Antologia Poetica Internacional Mujeres y Sus Plumas II?; Responde con una de estas opciones: (a) Antonio García Ángel, (b) Mabel Coronel Cuenca, (c) Ramiro Otero Lugones, (d) José María Memet",Mabel Coronel Cuenca
"¿Quién es el autor de la obra Los desplazados?; Responde con una de estas opciones: (a) Enza García Arreaza, (b) Gustavo Wojciechowski, (c) Manuel González Prada, (d) César Rivas Lara",César Rivas Lara
"¿Quién es el autor de la obra Todas las salidas del tren?; Responde con una de estas opciones: (a) Memo Ánjel, (b) Sylvia Simonet, (c) Gonzalo Arango, (d) Omar Pérez Santiago",Memo Ánjel
"¿Quién es el autor de la obra Blinding Star?; Responde con una de estas opciones: (a) Fernando Lamberg, (b) Blanca Varela, (c) Guillermo Ruiz Plaza, (d) Sascha Hannig",Blanca Varela
"¿Quién es el autor de la obra Crónica?; Responde con una de estas opciones: (a) Omar Vázquez Heredia, (b) Enrique Wernicke, (c) Felipe Restrepo Pombo, (d) Axel Kaiser",Felipe Restrepo Pombo
"¿Quién es el autor de la obra Biografí́a de un hombre que perdió el miedo?; Responde con una de estas opciones: (a) Óscar Lebel, (b) Edgardo Russo, (c) Pedro Reino, (d) Eduardo Sguiglia",Óscar Lebel
"¿Quién es el autor de la obra Otros septiembres?; Responde con una de estas opciones: (a) Gonzalo Gallo, (b) Ariel Dorfman, (c) Triunfo Arciniegas, (d) Héctor Béjar",Ariel Dorfman
"¿Quién es el autor de la obra Prehistoria de San Juan?; Responde con una de estas opciones: (a) Iván Oñate, (b) Mariano Gambier, (c) César Miró, (d) Miguel Castillo Didier",Mariano Gambier
"¿Quién es el autor de la obra Teatro Hispanico?; Responde con una de estas opciones: (a) Sergio Israel, (b) Demetrio Aguilera Malta, (c) Ezio Neyra, (d) Juan Montalvo",Demetrio Aguilera Malta
"¿Quién es el autor de la obra Músicos y relojeros?; Responde con una de estas opciones: (a) Alicia Steimberg, (b) Fernando Tola de Habich, (c) Jaime Quezada, (d) Carlos Polimeni",Alicia Steimberg
