tipo,pregunta,respuesta
P1,¿Quién escribió el libro Diarió de una ninfomana?,Valérie Tasso
P1,¿Quién escribió el libro Ḳadish la-yeled she-lo nolad?,Imre Kertész
P1,¿Quién escribió el libro Hanging hill?,Mo Hayder
P1,¿Quién escribió el libro Murder on the Railways?,Emma Orczy
P1,¿Quién escribió el libro Basic Income?,Philippe Van Parijs
P1,¿Quién escribió el libro Paris?,Isabelle Spaak
P1,¿Quién escribió el libro The scope of anthropology?,Claude Lévi-Strauss
P1,¿Quién escribió el libro Textall?,Gerhard Rühm
P1,¿Quién escribió el libro Deutsche Künstler im Exil 1933-1945?,Herta Müller
P1,¿Quién escribió el libro The Elusive Pimpernel (Scarlet Pimpernel)?,Emma Orczy
P1,¿Quién escribió el libro Der tollste Tag?,Peter Turrini
P1,¿Quién escribió el libro What Was She Thinking? Notes on a Scandal?,Zoë Heller
P1,"¿Quién escribió el libro León insólito ; León, ayer y hoy?",Victoriano Crémer
P1,¿Quién escribió el libro In achtzig Jahren um die Welt?,W. Michael Blumenthal
P1,¿Quién escribió el libro De Ceuta a Timor?,Luís Filipe Thomáz
P1,¿Quién escribió el libro Finding Time Again?,Marcel Proust
P1,¿Quién escribió el libro Emilia Pardo Bazán?,Cristina Fernández Cubas
P1,¿Quién escribió el libro Un Ete Avec Kim Novak?,Håkan Nesser
P1,¿Quién escribió el libro Les trois anneaux?,Etienne Barilier
P1,¿Quién escribió el libro Legenda ob Ulenshpigele?,Charles de Coster
P1,¿Quién escribió el libro The history of the Scottish Parliament?,Keith Mann
P1,¿Quién escribió el libro Barabbas ; Escurial?,Michel de Ghelderode
P1,¿Quién escribió el libro Die Kinder Abrahams?,Peter Sichrovsky
P1,¿Quién escribió el libro Batalha de flores?,António Ferro
P1,¿Quién escribió el libro El olvido de sí- 2022?,Pablo d'Ors
P1,¿Quién escribió el libro Fiendens fiende?,Jan Guillou
P1,¿Quién escribió el libro Ecrits?,Charles Koechlin
P1,¿Quién escribió el libro Bronsteins Kinder?,Jurek Becker
P1,¿Quién escribió el libro Vita?,Melania G. Mazzucco
P1,¿Quién escribió el libro Vägen till Jerusalem?,Jan Guillou
P1,¿Quién escribió el libro Grimm Reader?,A. S. Byatt
P1,¿Quién escribió el libro I fuochi dello sguardo?,Achille Bonito Oliva
P1,¿Quién escribió el libro Sia Calendar 2022?,Rebecca Mader
P1,¿Quién escribió el libro EL UNIVERSO DE FEDERICO FELLINI?,Felipe González
P1,¿Quién escribió el libro Litr cieklego olowiu?,Andrzej Pilipiuk
P1,¿Quién escribió el libro Il mistero di Mangiabarche?,Massimo Carlotto
P1,¿Quién escribió el libro ha-Min ha-sheni?,Simone de Beauvoir
P1,¿Quién escribió el libro Mécanique analytique?,Joseph-Louis Lagrange
P1,¿Quién escribió el libro The way?,Josemaría Escrivá de Balaguer
P1,¿Quién escribió el libro La ira?,Zoé Valdés
P1,¿Quién escribió el libro Meie vanad?,Jaan Lattik
P1,¿Quién escribió el libro Die verborgenen Gärten. Roman?,Martin R. Dean
P1,¿Quién escribió el libro Wer bin ich??,Roger Schawinski
