tipo,pregunta,respuesta
P1,¿Quién escribió el libro Diarió de una ninfomana?,Valérie Tasso
P1,¿Quién escribió el libro Ḳadish la-yeled she-lo nolad?,Imre Kertész
P1,¿Quién escribió el libro Hanging hill?,Mo Hayder
P2,¿De qué país es la persona André Blavier?,Belgium
P2,¿De qué país es la persona Anne Moreau-Vagnon?,France
P2,¿De qué país es la persona Niklaus Brantschen?,Switzerland
P3,¿De qué país es el autor del libro Diarió de una ninfomana?,Spain
P3,¿De qué país es el autor del libro Ḳadish la-yeled she-lo nolad?,Germany
P3,¿De qué país es el autor del libro Hanging hill?,United Kingdom
P4,¿De qué año es el libro Rimas y declaraciones poéticas?,1999
P4,¿De qué año es el libro Prentice Hall Literature--Copper?,1991
P4,¿De qué año es el libro LEFECTE FRANKENSTEIN?,2019
P5,Dime el género o el tópico principal del libro Monty Python's second film,"Monty Python and the Holy Grail (Motion picture), Motion picture plays"
P5,Dime el género o el tópico principal del libro Cultura e poder entre o Império e a República,"History, Intellectual life"
P5,Dime el género o el tópico principal del libro Ida e volta,"Description and travel, Journeys, Portuguese Authors"
P6,Dime alguna editorial que haya publicado el libro Dieu ne se laisse pas chasser,"Apostolat des éditions, Editions Paulines"
P6,Dime alguna editorial que haya publicado el libro Großes Bundesverdienstkreuz,"AutorenEdition, Rowohlt, Steidl"
P6,Dime alguna editorial que haya publicado el libro Im Leuchtkäferlicht (German Edition),Allitera Verlag
