primera pregunta,segunda pregunta
Dime alguna editorial que haya publicado la obra Reminiscencias de dos ferias del libro?,Estas son las editoriales que han publicado la obra: Editorial Temis. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Letra en la piedra?,Estas son las editoriales que han publicado la obra: Loca edición. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Un Hombre de Edad Media - Antes del Olvido II?,Estas son las editoriales que han publicado la obra: Sudamericana. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Vendrá la muerte y tendrá tus ojos?,Estas son las editoriales que han publicado la obra: Plural Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Todo el amor en sus ojos?,Estas son las editoriales que han publicado la obra: LOM Ediciones. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Una democracia única?,Estas son las editoriales que han publicado la obra: Fin De Siglo Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Sabueso de Los Baskerville (Spanish Edition)?,Estas son las editoriales que han publicado la obra: CreateSpace Independent Publishing Platform. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Alfonsina Storni?,Estas son las editoriales que han publicado la obra: Aguilar. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Gracias a la Vida?,"Estas son las editoriales que han publicado la obra: Espasa Calpe Mexicana, S.A.. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Rocanrol?,"Estas son las editoriales que han publicado la obra: Alfaguara, Beatriz Viterbo. ¿Respondiste bien? Responde con sí o no."
"Dime alguna editorial que haya publicado la obra Médicos taxistas, escritores?",Estas son las editoriales que han publicado la obra: Sudaquia Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra 1929?,Estas son las editoriales que han publicado la obra: Editorial la Bachué. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Didática de la liberación?,Estas son las editoriales que han publicado la obra: Casa Editorial HUM. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Amazonía peruana en 2021?,"Estas son las editoriales que han publicado la obra: Sociedad Peruana de Derecho Ambiental, SPDA. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Historia general de Boyacá?,Estas son las editoriales que han publicado la obra: Academia Boyacense de Historia. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Proyecto Del Codigo Eclesiastico ... ...?,"Estas son las editoriales que han publicado la obra: Creative Media Partners, LLC. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra La misión Rockefeller?,Estas son las editoriales que han publicado la obra: Alfaguara. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El desorden de las imágenes?,"Estas son las editoriales que han publicado la obra: JH, Fondo Juvenal Hernández Jaque. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Olvido y falsificación en la historia del Grito de Alcorta?,Estas son las editoriales que han publicado la obra: Homo Sapiens Ediciones. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Bicentenario?,Estas son las editoriales que han publicado la obra: A-Z Editora. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Arguedas?,"Estas son las editoriales que han publicado la obra: Pontificia Universidad Católica del Perú, Fondo Editorial. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra El cielo de Capri?,Estas son las editoriales que han publicado la obra: Revuelta Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Cien Sonetos?,Estas son las editoriales que han publicado la obra: CreateSpace Independent Publishing Platform. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La vuelta de la esquina?,Estas son las editoriales que han publicado la obra: Editorial Losada. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Derroteros?,Estas son las editoriales que han publicado la obra: Consejo Nacional de Cultura. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra A través de un breve laberinto?,Estas son las editoriales que han publicado la obra: Astromulo. ¿Respondiste bien? Responde con sí o no.
"Dime alguna editorial que haya publicado la obra El conquistador Rodrigo Pérez de Guzmán, o, el reino de la inteligencia?",Estas son las editoriales que han publicado la obra: [Sociedad Amigos de la Genealogía?]. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra El sendero luminoso del placer?,Estas son las editoriales que han publicado la obra: Ediciones Altazor. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Demonio del monte y otros cuentos amazónicos?,Estas son las editoriales que han publicado la obra: El Muki Ediciones. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Las Abejas de La Tapera?,Estas son las editoriales que han publicado la obra: Editora Patria Grande. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Perdidos en Frog?,Estas son las editoriales que han publicado la obra: Lugar Común. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra La secreta obscenidad de cada día?,Estas son las editoriales que han publicado la obra: Ediciones El Milagro. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Suerte para todos?,"Estas son las editoriales que han publicado la obra: Editorial Seix Barral, S.A.. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Gustave Flaubert Historia De Una Cama?,Estas son las editoriales que han publicado la obra: Panamericana Editorial. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Ciudad Jenga?,Estas son las editoriales que han publicado la obra: Grado Cero Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Poemas chinos?,Estas son las editoriales que han publicado la obra: Gárgola. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Las dos ciudades?,Estas son las editoriales que han publicado la obra: Metalúcida. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Impuesto a la carne?,"Estas son las editoriales que han publicado la obra: Eterna Cadencia, Seix Barral Biblioteca Breve. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Mío Cid Campeador?,Estas son las editoriales que han publicado la obra: Editorial Universitaria. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Poesía y prosa?,Estas son las editoriales que han publicado la obra: Fundación Biblioteca Ayacucho. ¿Respondiste bien? Responde con sí o no.
"Dime alguna editorial que haya publicado la obra Bolivar, el destino en la sombra?",Estas son las editoriales que han publicado la obra: Villegas Editores. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Amazonia probable y deseable?,"Estas son las editoriales que han publicado la obra: Universidad Inca Garcilaso de la Vega, Fondo Editorial. ¿Respondiste bien? Responde con sí o no."
Dime alguna editorial que haya publicado la obra Chajá para todos?,Estas son las editoriales que han publicado la obra: Estuario editora. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Narrativa completa?,Estas son las editoriales que han publicado la obra: Universidad Nacional del Altiplano. ¿Respondiste bien? Responde con sí o no.
Dime alguna editorial que haya publicado la obra Del humor quevedesco a la ironía cervantina?,Estas son las editoriales que han publicado la obra: Instituto Cervantes. ¿Respondiste bien? Responde con sí o no.
